date,quarter,year,apple,microsoft,ibm
2007-05-21,2007-2,2007,15.997143,31.049999,107.040001
2007-05-22,2007-2,2007,16.219999,30.690001,106.699997
2007-05-23,2007-2,2007,16.127142,30.58,105.580002
2007-05-24,2007-2,2007,15.812857,30.17,103.949997
2007-05-25,2007-2,2007,16.231428,30.48,105.18
2007-05-29,2007-2,2007,16.335714,30.790001,105.910004
2007-05-30,2007-2,2007,16.967142,31.110001,106.93
2007-05-31,2007-2,2007,17.312857,30.690001,106.599998
2007-06-01,2007-2,2007,16.914286,30.59,106.540001
2007-06-04,2007-2,2007,17.332857,30.719999,106.230003
2007-06-05,2007-2,2007,17.524286,30.58,105.839996
2007-06-06,2007-2,2007,17.662857,30.290001,102.410004
2007-06-07,2007-2,2007,17.724285,29.620001,101.800003
2007-06-08,2007-2,2007,17.784286,30.049999,103.07
2007-06-11,2007-2,2007,17.17,30.02,103.220001
2007-06-12,2007-2,2007,17.197144,29.85,102.339996
2007-06-13,2007-2,2007,16.785715,30.389999,103.120003
2007-06-14,2007-2,2007,16.964285,30.52,103.849998
2007-06-15,2007-2,2007,17.214285,30.49,105.089996
2007-06-18,2007-2,2007,17.870001,30.51,105.330002
2007-06-19,2007-2,2007,17.665714,30.459999,106.5
2007-06-20,2007-2,2007,17.364286,30.01,106
2007-06-21,2007-2,2007,17.700001,30.219999,106.599998
2007-06-22,2007-2,2007,17.571428,29.49,104.440002
2007-06-25,2007-2,2007,17.477142,29.49,105.099998
2007-06-26,2007-2,2007,17.092857,29.52,105.330002
2007-06-27,2007-2,2007,17.412857,29.870001,105.43
2007-06-28,2007-2,2007,17.222857,29.83,105.949997
2007-06-29,2007-2,2007,17.434286,29.469999,105.25
2007-07-02,2007-3,2007,17.322857,29.74,105.010002
2007-07-03,2007-3,2007,18.167143,30.02,106.580002
2007-07-05,2007-3,2007,18.964285,29.99,108.050003
2007-07-06,2007-3,2007,18.9,29.969999,109.029999
2007-07-09,2007-3,2007,18.618572,29.870001,108.970001
2007-07-10,2007-3,2007,18.907143,29.33,108.629997
2007-07-11,2007-3,2007,18.912857,29.49,109.099998
2007-07-12,2007-3,2007,19.152857,30.07,109.279999
2007-07-13,2007-3,2007,19.675714,29.82,108.599998
2007-07-16,2007-3,2007,19.728571,30.030001,109.660004
2007-07-17,2007-3,2007,19.844286,30.780001,110.769997
2007-07-18,2007-3,2007,19.731428,30.92,111.080002
2007-07-19,2007-3,2007,20,31.51,115.860001
2007-07-20,2007-3,2007,20.535715,31.16,114.809998
2007-07-23,2007-3,2007,20.528572,31.190001,116.379997
2007-07-24,2007-3,2007,19.27,30.799999,116.169998
2007-07-25,2007-3,2007,19.608572,30.709999,118.099998
2007-07-26,2007-3,2007,20.857143,29.98,116.529999
2007-07-27,2007-3,2007,20.549999,29.389999,115.620003
2007-07-30,2007-3,2007,20.204287,29.4,114.519997
2007-07-31,2007-3,2007,18.822857,28.99,110.650002
2007-08-01,2007-3,2007,19.285715,29.299999,112.040001
2007-08-02,2007-3,2007,19.498571,29.52,113.230003
2007-08-03,2007-3,2007,18.835714,28.959999,111.889999
2007-08-06,2007-3,2007,19.321428,29.540001,113.889999
2007-08-07,2007-3,2007,19.290001,29.549999,113.529999
2007-08-08,2007-3,2007,19.144285,30,112.980003
2007-08-09,2007-3,2007,18.055714,29.299999,110.730003
2007-08-10,2007-3,2007,17.857143,28.709999,112.639999
2007-08-13,2007-3,2007,18.255714,28.629999,112.709999
2007-08-14,2007-3,2007,17.718571,28.27,112.050003
2007-08-15,2007-3,2007,17.128571,28.1,111.230003
2007-08-16,2007-3,2007,16.721428,27.809999,109.690002
2007-08-17,2007-3,2007,17.437143,28.25,110.900002
2007-08-20,2007-3,2007,17.459999,28.26,109.220001
2007-08-21,2007-3,2007,18.224285,28.07,109.040001
2007-08-22,2007-3,2007,18.93,28.219999,110
